Source;Target;Label;Weight
105;51;12L;7.5
113;51;2;2
116;51;1;5
127;51;C;5
128;51;1;10
8;52;C;5
12;52;2L;2.5
13;52;1;5
16;52;C;5
19;52;1;5
20;52;C1;10
26;52;1;5
28;52;1;5
29;52;C;5
34;52;L;0.5
35;52;1;5
36;52;2;2
42;52;2;2
45;52;1;5
46;52;C1;10
49;52;C;5
54;52;C;5
56;52;C;5
60;52;1;5
65;52;C3;6
71;52;1;5
73;52;2;2
78;52;1;5
86;52;L;0.5
89;52;C;5
94;52;1;5
101;52;C;5
119;52;C3;6
121;52;1L;5.5
127;52;2;2
4;53;1;5
10;53;C;5
26;53;2;2
31;53;2;2
32;53;C;5
39;53;L;0.5
40;53;1;5
45;53;1;5
51;53;L;0.5
54;53;2;2
60;53;1;10
67;53;3;1
71;53;2;2
72;53;C2;9
73;53;1;5
76;53;L;0.5
78;53;C;5
81;53;2;2
86;53;C;5
98;53;L;0.5
100;53;1;5
104;53;L;0.5
105;53;2L;2.5
110;53;C;5
2;54;1;5
7;54;2;2
8;54;C;5
9;54;23;3
11;54;1;10
12;54;1;5
13;54;1;5
16;54;C;5
19;54;1;5
20;54;C;5
26;54;1;10
29;54;C;5
32;54;3;1
35;54;2;4
37;54;2;2
38;54;1;5
39;54;1;5
44;54;12;7
45;54;13;6
46;54;C;5
49;54;C;5
50;54;1;5
52;54;C;5
53;54;2;2
55;54;1;5
56;54;C;5
57;54;2;2
65;54;C;5
69;54;1;5
73;54;2;2
74;54;1;5
76;54;1;5
77;54;1;5
79;54;2;2
81;54;L;0.5
82;54;L;0.5
86;54;2;2
89;54;C;5
93;54;L;0.5
94;54;1;5
95;54;2;2
97;54;L;0.5
101;54;C2;9
105;54;L;0.5
113;54;L;0.5
119;54;C1;10
123;54;1;5
127;54;2;2
7;55;C;5
9;55;CL;6
11;55;2;2
13;55;1;5
19;55;C2;7
26;55;3;1
28;55;2;2
29;55;L;0.5
33;55;3;1
35;55;CL;5.5
36;55;1;5
48;55;L;0.5
54;55;1;5
61;55;3;1
63;55;3;1
69;55;C2;7
71;55;1;5
73;55;2L;2.5
74;55;12;7
77;55;L;0.5
82;55;1;10
89;55;L;0.5
90;55;C;5
92;55;C;5
94;55;C1;15
95;55;3;3
96;55;2;4
97;55;23;3
100;55;3;1
101;55;1;5
104;55;2;2
105;55;L;0.5
111;55;2;2
119;55;3;1
1;56;2;2
7;56;1;5
8;56;C;5
11;56;1;5
16;56;C2;7
20;56;C3;6
29;56;C;5
31;56;2;2
40;56;2;2
44;56;1;5
46;56;C;5
49;56;C3;6
52;56;C;5
54;56;C;5
65;56;C;5
69;56;1;5
71;56;1;10
73;56;1;5
82;56;1;5
89;56;C;5
99;56;L;0.5
101;56;C;5
104;56;1;5
119;56;C;5
1;57;L;0.5
2;57;L;0.5
5;57;C;5
19;57;2;2
20;57;L;0.5
31;57;3;1
37;57;L;0.5
38;57;C;5
40;57;1;5
41;57;2;2
44;57;C;5
47;57;C;5
51;57;2;2
54;57;2;2
58;57;L;0.5
60;57;2;2
67;57;L;0.5
68;57;2;2
69;57;2;2
74;57;2;2
81;57;13;6
87;57;1;5
88;57;C;5
93;57;L;0.5
95;57;3L;1.5
99;57;C;5
100;57;1;5
101;57;1;5
103;57;1;5
105;57;3;1
107;57;C;5
111;57;2;2
114;57;C;5
118;57;2;2
121;57;1;5
125;57;1;5
128;57;12;7
7;58;2;2
12;58;1;5
17;58;L;0.5
20;58;12;7
32;58;12;7
35;58;2;2
36;58;2;2
37;58;L;0.5
42;58;2;2
48;58;1;5
50;58;C;5
57;58;L;0.5
65;58;1;5
67;58;1;5
68;58;2;2
71;58;L;0.5
72;58;L;0.5
73;58;2;2
76;58;12;7
78;58;1;5
79;58;L;0.5
91;58;C;5
95;58;1;5
96;58;12;7
99;58;1;5
111;58;3;1
119;58;1;5
121;58;L;0.5
127;58;3;1
2;59;1;5
26;59;L;0.5
28;59;1;5
29;59;2;2
44;59;1;5
76;59;1;5
82;59;1;5
